0,00000E+0 8,08000E-3 42,05833E-3
1,00000E+0 -434,36000E-6 169,10625E-6
2,00000E+0 138,09333E-6 692,75840E-6
3,00000E+0 378,74667E-6 697,43647E-6
4,00000E+0 1,38097E-3 707,17571E-6
5,00000E+0 4,52861E-3 753,12518E-6
6,00000E+0 12,91013E-3 1,07759E-3
7,00000E+0 19,19133E-3 846,02806E-6
8,00000E+0 16,06107E-3 760,26982E-6
9,00000E+0 10,22313E-3 663,62513E-6
10,00000E+0 6,12717E-3 726,62196E-6
11,00000E+0 3,08273E-3 713,19484E-6
12,00000E+0 1,61059E-3 688,03012E-6
13,00000E+0 855,00000E-6 705,40244E-6
14,00000E+0 459,52000E-6 736,39428E-6
15,00000E+0 254,42667E-6 704,29682E-6
16,00000E+0 166,34667E-6 700,04829E-6
17,00000E+0 119,48000E-6 697,83393E-6
18,00000E+0 67,70667E-6 692,09788E-6
19,00000E+0 66,17333E-6 679,81228E-6
